scan_id,rp_id,device_id,collector_id,total_ap_scanned,azimuth_deg,split,88:dc:97:12:62:c6,88:dc:97:12:62:c7,88:dc:97:12:62:cc,88:dc:97:12:62:cf,88:dc:97:12:62:d0,88:dc:97:12:64:82,88:dc:97:12:64:83,88:dc:97:12:64:c4,88:dc:97:12:65:21,88:dc:97:12:65:22,88:dc:97:12:65:2a,88:dc:97:12:65:2b,88:dc:97:12:65:57,88:dc:97:12:65:58,88:dc:97:12:65:63,88:dc:97:12:65:64,8e:dc:97:12:62:c6,8e:dc:97:12:62:c7,8e:dc:97:12:62:cc,8e:dc:97:12:62:cf,8e:dc:97:12:62:d0,8e:dc:97:12:64:82,8e:dc:97:12:64:83,8e:dc:97:12:64:c4,8e:dc:97:12:65:21,8e:dc:97:12:65:22,8e:dc:97:12:65:2a,8e:dc:97:12:65:2b,8e:dc:97:12:65:57,8e:dc:97:12:65:58,8e:dc:97:12:65:63,8e:dc:97:12:65:64,b4:5d:50:d7:e9:40,b4:5d:50:d7:e9:41,b4:5d:50:d7:e9:50,b4:5d:50:d7:e9:51
2025:01:24:08:49:45,RP04,SM-S908E,2212343,29,-1.5732579,validation,0.181818182,0,0,0.384615385,0.322033898,0.607843137,0.571428571,0,0.492307692,0.576271186,0.5,0.5,0.31372549,0.484848485,0.535714286,0.518518519,0.238095238,0,0,0.369230769,0.322033898,0.632653061,0.595238095,0.058823529,0.47761194,0.593220339,0.5,0.5,0.333333333,0.484848485,0.535714286,0.518518519,0,0,0.314814815,0.314814815
2025:01:24:08:54:33,RP04,SM-S908E,2212343,36,-0.66322947,validation,0.233766234,0.314285714,0.135135135,0.307692308,0.254237288,0.352941176,0,0,0.276923077,0.254237288,0.25862069,0.482142857,0.274509804,0,0.625,0.481481481,0.285714286,0.342857143,0.081081081,0.323076923,0.254237288,0.326530612,0,0,0.268656716,0.254237288,0.310344828,0.464285714,0.244444444,0,0.625,0.481481481,0.403508772,0.385964912,0.481481481,0.481481481
2025:01:24:08:55:27,RP04,SM-S908E,2212343,25,-0.6666276,test,0.168831169,0.314285714,0,0.353846154,0.322033898,0,0,0,0.261538462,0.271186441,0.327586207,0.517857143,0.215686275,0,0.535714286,0.481481481,0.206349206,0.314285714,0,0.353846154,0.322033898,0,0,0,0.253731343,0.271186441,0.310344828,0.517857143,0.222222222,0,0.535714286,0.481481481,0,0,0.481481481,0.481481481
2025:01:24:09:01:24,RP04,SM-S908E,2212343,24,0.36660594,test,0.194805195,0,0,0.323076923,0.305084746,0.196078431,0,0,0.184615385,0.322033898,0.396551724,0.5,0.156862745,0,0.571428571,0.518518519,0.238095238,0,0,0.323076923,0.305084746,0,0,0,0.194029851,0.322033898,0.379310345,0.5,0,0,0.553571429,0.5,0.350877193,0.350877193,0.5,0.5
2025:01:24:09:00:08,RP04,SM-S908E,2212343,23,0.40427345,test,0.194805195,0,0,0.338461538,0.355932203,0,0,0,0.323076923,0.305084746,0.413793103,0.607142857,0,0,0.625,0.555555556,0.222222222,0,0,0.338461538,0.355932203,0,0,0,0.313432836,0.305084746,0.413793103,0.607142857,0,0,0.607142857,0.555555556,0.350877193,0.350877193,0.5,0.5
2025:01:24:08:46:07,RP05,SM-S908E,2212343,30,-2.7760053,train,0.207792208,0,0,0.492307692,0.372881356,0.529411765,0.285714286,0,0.507692308,0.576271186,0.534482759,0.517857143,0.392156863,0.545454545,0.571428571,0.5,0.253968254,0,0,0.492307692,0.372881356,0.551020408,0.285714286,0,0.492537313,0.559322034,0.534482759,0.517857143,0.444444444,0.545454545,0.571428571,0.5,0,0,0.296296296,0.314814815
2025:01:24:08:36:47,RP05,SM-S908E,2212343,37,-1.6524496,train,0.272727273,0.514285714,0,0.369230769,0.355932203,0.68627451,0.5,0.371428571,0.461538462,0.559322034,0.534482759,0.517857143,0.431372549,0.757575758,0.517857143,0.407407407,0.333333333,0.514285714,0.27027027,0.384615385,0.355932203,0.714285714,0.5,0.352941176,0.447761194,0.542372881,0.517241379,0.517857143,0.488888889,0.757575758,0.5,0.407407407,0.438596491,0.438596491,0.351851852,0.351851852
2025:01:24:08:42:38,RP05,SM-S908E,2212343,37,0.44532126,train,0.246753247,0.228571429,0,0.523076923,0.288135593,0.450980392,0.357142857,0.4,0.538461538,0.627118644,0.672413793,0.696428571,0.529411765,0.696969697,0.607142857,0.537037037,0.285714286,0.285714286,0.243243243,0.523076923,0.288135593,0.469387755,0.357142857,0.382352941,0.52238806,0.627118644,0.672413793,0.696428571,0.6,0.696969697,0.607142857,0.537037037,0.403508772,0.403508772,0.314814815,0.333333333
2025:01:24:08:44:11,RP05,SM-S908E,2212343,33,0.4599774,train,0,0,0.297297297,0.492307692,0.288135593,0.411764706,0.357142857,0,0.507692308,0.559322034,0.5,0.571428571,0.392156863,0.515151515,0.660714286,0.518518519,0,0,0.162162162,0.492307692,0.305084746,0.428571429,0.357142857,0.235294118,0.492537313,0.559322034,0.5,0.571428571,0.444444444,0.515151515,0.660714286,0.518518519,0.385964912,0.385964912,0.277777778,0.277777778
2025:01:24:08:38:30,RP05,SM-S908E,2212343,36,-1.6141924,train,0.272727273,0,0.351351351,0.307692308,0.389830508,0.666666667,0.476190476,0.314285714,0.507692308,0.559322034,0.517241379,0.5,0.450980392,0.666666667,0.553571429,0.425925926,0.412698413,0,0.27027027,0.307692308,0.389830508,0.693877551,0.476190476,0.323529412,0.492537313,0.559322034,0.517241379,0.5,0.511111111,0.666666667,0.553571429,0.425925926,0.403508772,0.403508772,0.277777778,0.277777778
2025:01:24:08:44:47,RP05,SM-S908E,2212343,30,0.41944143,train,0,0.428571429,0,0.507692308,0.322033898,0.529411765,0.428571429,0.228571429,0.492307692,0.542372881,0.465517241,0.535714286,0,0.484848485,0.589285714,0.518518519,0,0.428571429,0.216216216,0,0.322033898,0.551020408,0.428571429,0.205882353,0.462686567,0.542372881,0.465517241,0.535714286,0,0.484848485,0.589285714,0.518518519,0.403508772,0.403508772,0.37037037,0.314814815
2025:01:24:08:37:49,RP05,SM-S908E,2212343,37,-1.6558925,train,0.350649351,0.342857143,0.324324324,0.323076923,0.406779661,0.666666667,0.476190476,0.257142857,0.523076923,0.559322034,0.517241379,0.5,0.450980392,0.757575758,0.553571429,0.462962963,0.333333333,0.371428571,0,0.323076923,0.406779661,0.693877551,0.476190476,0.352941176,0.492537313,0.576271186,0.517241379,0.5,0.533333333,0.757575758,0.553571429,0.462962963,0.385964912,0.403508772,0.314814815,0.314814815
2025:01:24:08:46:53,RP05,SM-S908E,2212343,31,-2.7345746,train,0.155844156,0.371428571,0,0,0.322033898,0.62745098,0.571428571,0,0.415384615,0.525423729,0.568965517,0.517857143,0.333333333,0.484848485,0.607142857,0.5,0.174603175,0.371428571,0.162162162,0,0.322033898,0.653061224,0.571428571,0,0.402985075,0.525423729,0.568965517,0.517857143,0.422222222,0.484848485,0.607142857,0.5,0.385964912,0.385964912,0.277777778,0.296296296
2025:01:24:08:39:07,RP05,SM-S908E,2212343,34,-0.7025948,train,0.233766234,0.285714286,0,0,0.389830508,0.666666667,0.428571429,0.314285714,0.492307692,0.491525424,0.5,0.5,0.450980392,0.666666667,0.535714286,0.407407407,0.301587302,0.228571429,0,0.338461538,0.389830508,0.693877551,0.428571429,0.411764706,0.462686567,0.491525424,0.482758621,0.5,0.511111111,0.666666667,0.535714286,0.407407407,0.385964912,0.385964912,0.259259259,0.259259259
2025:01:24:08:36:00,RP05,SM-S908E,2212343,32,-1.6345073,train,0.285714286,0.342857143,0,0.384615385,0.322033898,0.725490196,0.452380952,0,0.476923077,0.491525424,0.586206897,0.553571429,0.411764706,0.696969697,0.464285714,0.444444444,0.349206349,0.342857143,0,0.384615385,0.322033898,0.755102041,0.452380952,0,0.462686567,0.508474576,0.586206897,0.553571429,0.466666667,0.696969697,0.464285714,0.444444444,0.350877193,0.350877193,0.277777778,0.277777778
2025:01:24:08:45:23,RP05,SM-S908E,2212343,30,0.43520615,train,0.25974026,0.342857143,0,0.523076923,0.288135593,0.490196078,0.428571429,0,0.507692308,0.576271186,0.431034483,0.571428571,0.450980392,0.515151515,0.535714286,0.537037037,0.412698413,0.342857143,0,0.507692308,0.288135593,0.510204082,0.404761905,0,0.492537313,0.593220339,0.431034483,0.571428571,0.511111111,0.484848485,0.535714286,0.537037037,0,0,0.296296296,0.296296296
2025:01:24:08:47:42,RP05,SM-S908E,2212343,26,-2.7552936,train,0.194805195,0,0,0,0.305084746,0.62745098,0.547619048,0,0.4,0.525423729,0.5,0.517857143,0.392156863,0.545454545,0.571428571,0.574074074,0.238095238,0,0,0,0.305084746,0.632653061,0.547619048,0,0.402985075,0.525423729,0.5,0.517857143,0.444444444,0.545454545,0.571428571,0.574074074,0.385964912,0.385964912,0,0
2025:01:24:08:41:42,RP05,SM-S908E,2212343,32,-0.6954261,train,0.298701299,0.4,0,0.338461538,0.355932203,0.666666667,0.452380952,0.342857143,0.523076923,0.440677966,0.586206897,0.464285714,0.490196078,0.575757576,0.571428571,0.481481481,0.365079365,0.4,0,0.338461538,0.355932203,0.693877551,0.452380952,0.352941176,0.492537313,0.423728814,0.586206897,0.464285714,0.533333333,0.575757576,0.571428571,0.481481481,0,0,0.351851852,0.351851852
2025:01:24:08:35:13,RP05,SM-S908E,2212343,24,-1.617843,train,0.246753247,0,0,0,0.305084746,0.470588235,0.380952381,0,0.461538462,0.423728814,0.620689655,0.571428571,0,0.727272727,0.464285714,0.592592593,0.285714286,0,0,0,0.305084746,0.489795918,0.380952381,0,0.447761194,0.423728814,0.620689655,0.553571429,0,0.696969697,0.464285714,0.592592593,0,0,0.407407407,0.407407407
2025:01:24:08:49:01,RP05,SM-S908E,2212343,26,-2.7382526,validation,0.116883117,0.4,0,0,0.322033898,0.588235294,0.547619048,0,0.430769231,0.559322034,0.5,0,0.392156863,0.575757576,0.589285714,0.555555556,0.142857143,0.4,0,0,0.322033898,0.591836735,0.547619048,0,0.417910448,0.559322034,0.5,0,0.422222222,0.575757576,0.589285714,0.555555556,0,0,0,0
2025:01:24:08:41:06,RP05,SM-S908E,2212343,30,-0.6968548,validation,0.233766234,0.371428571,0,0.430769231,0.322033898,0.470588235,0.357142857,0,0.492307692,0.457627119,0.603448276,0.535714286,0.529411765,0.545454545,0.642857143,0.481481481,0.285714286,0.371428571,0,0.415384615,0.322033898,0.489795918,0.333333333,0,0.447761194,0.457627119,0.603448276,0.517857143,0.6,0.545454545,0.642857143,0.481481481,0,0,0.277777778,0.277777778
2025:01:24:08:40:25,RP05,SM-S908E,2212343,34,-0.7116929,validation,0.402597403,0.342857143,0,0.338461538,0.271186441,0.666666667,0.357142857,0.257142857,0.507692308,0.474576271,0.5,0.517857143,0.392156863,0.515151515,0.625,0.537037037,0.444444444,0.342857143,0,0.323076923,0.271186441,0.693877551,0.357142857,0.264705882,0.492537313,0.474576271,0.5,0.5,0.444444444,0.515151515,0.625,0.537037037,0.403508772,0.421052632,0.314814815,0.314814815
2025:01:24:08:39:44,RP05,SM-S908E,2212343,28,-0.68628675,test,0.363636364,0,0,0.307692308,0.355932203,0.647058824,0.428571429,0,0.446153846,0.525423729,0.517241379,0.553571429,0.470588235,0.515151515,0.642857143,0.425925926,0.444444444,0,0,0.307692308,0.355932203,0.653061224,0.428571429,0,0.432835821,0.525423729,0.517241379,0.553571429,0.533333333,0.515151515,0.642857143,0.425925926,0,0,0.333333333,0.333333333
2025:01:24:08:48:25,RP05,SM-S908E,2212343,34,-2.7480478,test,0.220779221,0,0.108108108,0.261538462,0.322033898,0.68627451,0.547619048,0.285714286,0.446153846,0.593220339,0.448275862,0.482142857,0.392156863,0.545454545,0.553571429,0.481481481,0.253968254,0,0.135135135,0.246153846,0.322033898,0.714285714,0.547619048,0.176470588,0.432835821,0.593220339,0.448275862,0.482142857,0.466666667,0.545454545,0.553571429,0.481481481,0.368421053,0.368421053,0.351851852,0.351851852
2025:01:24:08:43:32,RP05,SM-S908E,2212343,37,0.44897294,test,0.376623377,0.4,0.162162162,0.492307692,0.288135593,0.529411765,0.357142857,0.228571429,0.538461538,0.542372881,0.482758621,0.589285714,0.470588235,0.575757576,0.625,0.555555556,0.333333333,0.371428571,0.135135135,0.492307692,0.271186441,0.551020408,0.357142857,0.205882353,0.507462687,0.525423729,0.465517241,0.589285714,0.555555556,0.545454545,0.625,0.555555556,0.385964912,0.385964912,0.277777778,0.296296296
2025:01:24:09:25:47,RP06,SM-S908E,2212343,35,-0.73609006,train,0.233766234,0.4,0,0.476923077,0.457627119,0.549019608,0.5,0.285714286,0.430769231,0.389830508,0.689655172,0.571428571,0.37254902,0.515151515,0.446428571,0.425925926,0.285714286,0.4,0,0.476923077,0.440677966,0.571428571,0.5,0.294117647,0.417910448,0.389830508,0.672413793,0.571428571,0.422222222,0.515151515,0.446428571,0.425925926,0.350877193,0.350877193,0.407407407,0.407407407
2025:01:24:09:26:33,RP06,SM-S908E,2212343,31,-0.73818064,train,0.246753247,0.428571429,0,0.492307692,0.457627119,0.568627451,0.476190476,0.485714286,0.384615385,0,0.706896552,0.660714286,0.294117647,0.484848485,0.464285714,0.388888889,0.301587302,0.457142857,0,0.476923077,0.457627119,0.571428571,0.476190476,0.382352941,0.373134328,0,0.706896552,0.660714286,0.333333333,0.484848485,0.464285714,0.388888889,0.315789474,0,0.37037037,0.388888889
2025:01:24:09:32:21,RP06,SM-S908E,2212343,33,-2.7778711,train,0.25974026,0.514285714,0,0.476923077,0.406779661,0.764705882,0.571428571,0.285714286,0.415384615,0.288135593,0.568965517,0.607142857,0.31372549,0.393939394,0.517857143,0.388888889,0.317460317,0.542857143,0.027027027,0.476923077,0.406779661,0.795918367,0.571428571,0.176470588,0.402985075,0.271186441,0.568965517,0.607142857,0.377777778,0.363636364,0.517857143,0.37037037,0,0,0.314814815,0.314814815
2025:01:24:09:24:07,RP06,SM-S908E,2212343,33,-0.7479587,train,0.25974026,0.428571429,0,0.492307692,0.474576271,0.68627451,0.547619048,0.228571429,0.369230769,0.406779661,0.568965517,0.607142857,0.450980392,0.303030303,0.607142857,0.648148148,0.317460317,0.428571429,0,0.476923077,0.474576271,0.693877551,0.547619048,0,0.358208955,0.406779661,0.551724138,0.607142857,0.511111111,0.303030303,0.589285714,0.648148148,0.456140351,0.456140351,0.351851852,0.351851852
2025:01:24:09:29:24,RP06,SM-S908E,2212343,30,0.371436,train,0.25974026,0.4,0,0.553846154,0,0.784313725,0.547619048,0,0.430769231,0.338983051,0.706896552,0.607142857,0.549019608,0.393939394,0.571428571,0.462962963,0.349206349,0.4,0,0.553846154,0,0.816326531,0.547619048,0,0.417910448,0.338983051,0.724137931,0.607142857,0.6,0.363636364,0.571428571,0.462962963,0.315789474,0.333333333,0.277777778,0.277777778
2025:01:24:09:33:16,RP06,SM-S908E,2212343,36,-2.81531,train,0.246753247,0.485714286,0.054054054,0.430769231,0.423728814,0.666666667,0.547619048,0.085714286,0.4,0.406779661,0.586206897,0.571428571,0.392156863,0.454545455,0.517857143,0.574074074,0.285714286,0.457142857,0.108108108,0.430769231,0.423728814,0.673469388,0.547619048,0,0.388059701,0.406779661,0.586206897,0.571428571,0.466666667,0.454545455,0.517857143,0.574074074,0.438596491,0.438596491,0.351851852,0.351851852
2025:01:24:09:34:06,RP06,SM-S908E,2212343,37,-2.8122947,train,0.25974026,0.428571429,0.216216216,0.369230769,0.423728814,0.62745098,0.523809524,0.085714286,0.415384615,0.338983051,0.379310345,0.607142857,0.274509804,0.454545455,0.464285714,0.444444444,0.317460317,0.428571429,0.216216216,0.369230769,0.423728814,0.612244898,0.523809524,0.088235294,0.402985075,0.322033898,0.379310345,0.607142857,0.311111111,0.454545455,0.464285714,0.444444444,0.385964912,0.385964912,0.259259259,0.259259259
2025:01:24:09:31:37,RP06,SM-S908E,2212343,30,-2.7815428,train,0.25974026,0.4,0,0.569230769,0.440677966,0.745098039,0.523809524,0.342857143,0.446153846,0.288135593,0,0.535714286,0.490196078,0.272727273,0.410714286,0.481481481,0,0.4,0,0.569230769,0.440677966,0.775510204,0.523809524,0.352941176,0.432835821,0.288135593,0,0.535714286,0.555555556,0,0.410714286,0.481481481,0.350877193,0.333333333,0.37037037,0.388888889
