mo_hinh,so_mau,loi_trung_binh,loi_trung_vi,loi_nho_nhat,loi_lon_nhat,loi_do_lech_chuan,mae_x,mae_y,rmse_x,rmse_y,cdf_50,cdf_75,cdf_90,thoi_gian_du_doan_ms
"kNN vân tay (Bray-Curtis), k động",121,3.2141559253191816,0.0,0.0,30.364452901377952,6.199431167096377,2.596281284727288,1.3999246651807875,6.1159434267848765,3.370308755618278,0.0,4.026216915228257,9.0,10.492725999974937
kNN,121,3.4383632059023967,0.0,0.0,35.84689665786984,7.052047750303528,2.644628099173554,1.3553719008264462,6.590752349233403,4.256254512988955,0.0,7.0,13.0,2.0748939999975846
kNN vân tay (Bray-Curtis),121,3.4496879333597597,0.0,0.0,35.84689665786984,8.22868296936794,2.4628099173553717,1.6446280991735538,7.011207085330487,5.518563713009523,0.0,0.0,14.212670403551895,0.27929399999266025
WKNN,121,3.507248130803481,5.0242958677880805e-15,0.0,33.50794848771176,6.261969579995543,2.7547003258224825,1.435356852898422,6.045931499151195,3.8677855136221626,5.0242958677880805e-15,6.193837521721874,10.369816810574694,3.911197999987053
Random Forest,121,6.921304569168189,5.524977274199367,0.13830054215038937,30.247019306025727,5.990366621202779,5.410951057102497,3.2486514442143894,7.694004400992509,4.958956087032505,5.524977274199367,8.664001673591713,16.244458922322167,43.99308399999427
XGBoost,121,7.320274465506145,5.418880767268969,0.2657860751259992,31.760401358036003,6.132053535706158,5.792129816395069,2.8950966389711237,8.286143371007872,4.746401463236119,5.418880767268969,9.610906944002949,17.31099534179864,1.2658999999985099
