mo_hinh,seed_42,ci95_thap,ci95_cao,tb_cac_seed,lech_chuan,nho_nhat,lon_nhat,so_seed_dung_dau
kNN vân tay (Bray-Curtis),3.4496879333597597,2.0483463837101445,4.956087673888917,2.5803263300185426,0.35778365186523525,1.8833349032053612,3.172322564861854,7
"kNN vân tay (Bray-Curtis), k động",3.2141559253191816,2.138728964967495,4.36943956743812,2.904734780148185,0.3521637890909569,2.5467648300179806,3.450644342963869,2
kNN,3.4383632059023967,2.2167646277858957,4.7440276238179875,3.4136046548794945,0.6335313739094156,2.463684979716005,4.515665141399896,1
WKNN,3.507248130803481,2.4470281754632235,4.679049144425898,3.8831369886378986,0.4011434734137466,3.1734569482271016,4.563175400343096,0
Random Forest,6.921304569168188,5.867372563375382,7.9794633604380065,6.611065238241838,0.6560458397375933,5.643197169314385,7.764437345686496,0
XGBoost,7.320274465506145,6.251823636736815,8.465126391929433,7.000154682601294,0.3966710259335626,6.2613653945667185,7.474573558851582,0
