mo_hinh,so_mau,loi_trung_binh,loi_trung_vi,loi_nho_nhat,loi_lon_nhat,loi_do_lech_chuan,cdf_50,cdf_75,cdf_90
"kNN vân tay (Bray-Curtis), k động",802,13.809427685396518,13.0,0.26982808610871034,45.87993841300089,7.736692507162113,13.0,18.768711483701807,23.984657635641454
XGBoost,802,14.964599659660617,13.40704688647119,0.3477989139366338,48.12561823942524,9.033178515801218,13.40704688647119,20.150078506778733,27.554729135876688
WKNN,802,15.440233664129494,14.035668847618199,0.10019415123167974,51.67758020630733,8.958016736936962,14.035668847618199,19.209372712298546,29.616076479957254
Random Forest,802,15.447394767331984,13.749736083374179,0.7300750966294964,45.61906454460834,9.335529797632736,13.749736083374179,20.275682007619775,28.8667992451175
kNN vân tay (Bray-Curtis),802,16.293956260458156,14.212670403551895,4.0,51.92301994298868,8.65316783448713,14.212670403551895,20.90990257669732,30.364452901377952
kNN,802,16.625516040780365,14.212670403551895,4.0,51.92301994298868,9.25430125344293,14.212670403551895,19.209372712298546,30.364452901377952
