mo_hinh,ngau_nhien_10_seed_m,lech_chuan_m,bo_diem_m,bo_diem_trung_vi_m,trung_binh_hai_giao_thuc_m
"kNN vân tay, k = 1",0.9051784765705048,0.12551050507432454,5.71591985616872,4.985804777566005,3.3105491663696127
"kNN vân tay, k = 41",2.7487049220239497,0.10228276770683054,4.568140481153715,4.174879040108432,3.658422701588832
XGBoost,2.455654262656534,0.1391521958974938,5.249581560608944,4.703192047774093,3.852617911632739
Trung bình k = 1 và k = 41,1.7748050414012766,0.09438037603268229,4.8265136341546775,4.269420417853441,3.300659337777977
Trung bình kNN vân tay và XGBoost,1.6193435616572884,0.08657501417292002,4.90138805525665,4.238531042256609,3.260365808456969
"k động, chọn cứng",1.0457258949308534,0.1165937871451697,4.944832793356215,4.5604,2.995279344143534
"k động, trộn mềm",1.0470534361412855,0.10849312556758765,4.909192395325251,4.5604,2.9781229157332683
