mo_hinh,k,validation,validation_dung_diem,test_10_seed,test_10_seed_lech_chuan,bo_diem,bo_diem_trung_vi,validation_m,test_10_seed_m,test_10_seed_lech_chuan_m,bo_diem_m,bo_diem_trung_vi_m
kNN,1,4.737909745486252,0.7,3.4136046548794945,0.6335313739094156,16.625516040780365,14.212670403551895,1.6620587387165773,1.1974925129317266,0.222242805967423,5.8322310271057525,4.985804777566005
kNN,2,4.799517887921214,0.5416666666666666,3.9568861259917654,0.39280829284242946,15.470407460080581,14.035668847618199,1.6836708750827618,1.3880756529979112,0.13779714912912425,5.427018936996268,4.923712631744464
kNN,3,5.160743103345827,0.4583333333333333,4.264901478551051,0.46116272426398786,15.002964379402268,13.674619920015619,1.8103886806537162,1.4961274386757089,0.16177588367180695,5.263039904294316,4.7970566679414794
kNN,4,5.52032231692621,0.39166666666666666,4.490833255513101,0.40043870405034127,14.69344918453517,13.25,1.9365290687777144,1.5753843060339958,0.14047389738085972,5.1544619739349375,4.6481
kNN,5,5.544770280750174,0.30833333333333335,4.6804355167680285,0.47604953116810633,14.455625819488887,13.0,1.9451054144871611,1.6418967792822243,0.1669981755337717,5.071033537476701,4.5604
kNN,7,6.345443610350056,0.175,5.1576490372925585,0.3638215272757057,14.289673961805804,13.0,2.2259816185108,1.8093032822822295,0.12762859176831756,5.012817625801476,4.5604
kNN,9,6.842164271567122,0.10833333333333334,5.554743036193945,0.2713372174681792,14.266143031411909,13.0,2.4002312264657464,1.9486038570968358,0.09518509588783726,5.004562975419297,4.5604
kNN,11,7.209894429805838,0.06666666666666667,5.901323178998132,0.24135319331521862,14.170888582918177,13.0,2.5292309659758883,2.070184171192545,0.0846667002149787,4.971147714887697,4.5604
kNN,15,8.182147524122394,0.0,6.626169885207834,0.2998098602469851,14.040006527345188,12.858028047670985,2.8702973514621357,2.3244603957309082,0.10517329897464237,4.925234289792692,4.5105962391229815
kNN,21,9.559689632631061,0.0,7.786227312108904,0.4566346675671407,14.081002514415626,13.04335983220893,3.353539123126976,2.7314085410878035,0.16018744138255298,4.939615682057002,4.575610629138892
kNN,31,10.776207970045762,0.0,9.220294679820917,0.4537057043205353,14.31756748342747,13.42111807578576,3.7802937558920533,3.2344793736811774,0.15915996107564379,5.0226026731863564,4.708128220985644
kNN,41,11.777752277881454,0.0,10.246852980966235,0.43885358893699483,14.556650523890264,13.812912057781274,4.131635499080814,3.5945960257229554,0.15394983899909778,5.106473003780705,4.845569549869671
kNN,61,13.321467710341503,0.0,11.780447214401367,0.4083229712554131,15.124128751787204,14.324855598647833,4.673170872787799,4.132580882811999,0.14323969831639893,5.305544366126951,5.02515934400566
WKNN,1,4.737909745486253,0.7,3.413604654879495,0.6335313739094157,16.625516040780365,14.212670403551895,1.6620587387165777,1.1974925129317269,0.22224280596742305,5.8322310271057525,4.985804777566005
WKNN,2,4.7196952246127974,0.5333333333333333,3.8831369886378986,0.4011434734137466,15.440233664129494,14.035668847618199,1.6556690847941693,1.3622044556141748,0.14072113047354232,5.416433969376627,4.923712631744464
